iter	Passed	Remaining
0	80	80333
1	124	62136
2	198	65863
3	289	71986
4	332	66175
5	370	61440
6	454	64477
7	557	69163
8	599	66054
9	639	63329
10	709	63758
11	750	61770
12	791	60109
13	844	59458
14	875	57509
15	910	55989
16	1024	59255
17	1090	59503
18	1170	60436
19	1211	59385
20	1254	58502
21	1301	57873
22	1350	57372
23	1362	55416
24	1419	55356
25	1446	54185
26	1488	53630
27	1525	52961
28	1589	53228
29	1637	52939
30	1659	51858
31	1688	51084
32	1775	52032
33	1806	51313
34	1858	51241
35	1888	50578
36	1913	49797
37	1946	49274
38	1979	48781339	2028	48672440	2071	4845741	2138	48777
442	2163	4814943	2247	48834
44	2282	48448
45	2349	48729
46	2384	48347
47	2426	48133
48	2498	48496
49	2536	48188
50	2590	48204
51	2649	48298
52	2701	48264
53	2786	48813
54	2831	48654
55	2873	48433
56	2914	48214
57	2958	48045
58	2996	47794
59	3066	48037
60	3104	47791
61	3164	47880
62	3208	47716
63	3245	47470
64	3292	47362
65	3335	47208
66	3415	47557
67	3453	47326
68	3500	47233
69	3564	47356
70	3603	47150
71	3646	46996
72	3692	46889
73	3729	46665
74	3764	46434
75	3846	46763
76	3880	46518
77	3921	46357
78	3951	46070
79	4017	46206
8080	4371	49608181	4446	49783
82	4552	50294
83	4592	50081
84	4704	50646
85	4745	50439
86	4795	50321
87	4846	50228
88	4871	49868
89	4962	50178
90	5043	50380
91	5106	50394
92	5164	50364
93	5222	50334
94	5249	50006
95	5308	49988
96	5363	49934
97	5441	50085
98	5485	49920
99	5553	49984
100	5620	50025
101	5687	50072
102	5778	50325
103	5815	50099
104	5843	49811
105	5878	49583
106	5952	49675
107	5989	49472
108	6032	49310
109	6062	490511110	6102	48871
111	6171	48929
112	6226	48875
113	6246	485511114	6291	4841115	6060	46186
11116	6466	48803
117	6496	4855118	6282	46510
119	6409	46999
120	6458	46914
121	6494	46736
122	6549	46701
123	6610	46702
124	6649	46549
125	6700	46475
126	6726	46235
127	6768	46109
128	6794	45878
129	6859	45908
130	6898	45762
131	6941	45646
132	6986	45546
133	7015	45339
134	7071	45307
135	7084	45004
136	7147	45026
137	7198	44966
138	7308	45273
139	7337	45074
140	7371	44911
141	7437	44939
142	7461	44714
143	7498	44575
144	7535	44431
145	7593	44415
146	7626	44251
147	7632	43937
148	7699	43975
149	7708	43681
150	7743	43540
151	7785	43434
152	7824	43318
153	7843	43085
154	7863	42868
155	7897	42726
156	7924	42548
157	7934	42286
158	7963	42120
159	7969	41838
160	7974	41554
16161	8306	42968
162	8350	42880
163	8395	42796
164	8443	42728
165	8497	42692
166	8537	42583
167	8587	42528
168	8649	42530
169	8679	42378
170	8685	42105
171	8716	41959
172	8747	41813
173	8801	41783
174	8830	41629
175	8868	41521
176	8920	41479
177	8951	41336
178	8958	41090
179	8997	40986
180	9043	40920
181	9050	40679
182	9110	40673
183	9138	40525
184	9173	40414
185	9255	40503
186	9283	40358
187	9320	40257
188	9364	40183
189	9429	40199
190	9448	40019
191	9481	39900
192	9486	39665
193	9538	39629
194	9570	39510
195	9595	39361
196	9630	39255
197	9660	39130
198	9701	39050
199	9715	38861
200	9748	38750
201	9790	38676
202	9848	38667
