

scaler:, FunctionTransformer
estimator:, XGBClassifier 
generate_pandas_profiling_reports:, False 
process_preprocessed_data_of_uci:, False 
print_pair_plots:, False 
drop_correlated_features:, False 
drop_nan:, False 
encode_labels:, True 
minimumPercentageMissingToBeDropped:, 100 
oneHotEncodedFeatures:, [] 
parameters:, {'classification__max_depth': [None; 1; 2; 3; 4; 5; 6; 7; 8; 9]; 'classification__n_estimators': range(10; 1000; 100); 'classification__learning_rate': [0.01; 0.1; 0.001]} 
Execution time in seconds:, 3137.1367502212524
AUC mean:, 78.87119213539074
best_params:, {'classification__learning_rate': 0.1; 'classification__max_depth': 1; 'classification__n_estimators': 310} 
AUC:, [0.7695370831259334;0.8205574912891987;0.7697859631657541;0.857391737182678;0.835;0.895;0.8724999999999999;0.919387755102041;0.6433673469387755;0.5045918367346939]
,0,1,accuracy,macro avg,weighted avg
precision,0.6666666666666666;0.7307692307692307;0.717391304347826;0.8181818181818182;0.7307692307692307;0.918918918918919;0.8918918918918919;0.9230769230769231;0.6923076923076923;0.5,0.9090909090909091;0.9210526315789473;0.8181818181818182;0.8913043478260869;0.9473684210526315;0.8867924528301887;0.8679245283018868;0.92;0.6507936507936508;0.5529411764705883,0.7555555555555555;0.8111111111111111;0.7666666666666667;0.8555555555555555;0.8222222222222222;0.9;0.8777777777777778;0.9213483146067416;0.6629213483146067;0.550561797752809,0.7878787878787878;0.8259109311740891;0.7677865612648221;0.8547430830039526;0.8390688259109311;0.9028556858745538;0.8799082100968894;0.9215384615384616;0.6715506715506716;0.5264705882352941,0.7986531986531986;0.8343679712100764;0.7722661396574441;0.8579929732103646;0.8511021142600089;0.9010708822029577;0.8785766898974445;0.9213828867761453;0.6694516469797368;0.5291473892927958
recall,0.926829268292683;0.926829268292683;0.8048780487804879;0.8780487804878049;0.95;0.85;0.825;0.9;0.45;0.05,0.6122448979591837;0.7142857142857143;0.7346938775510204;0.8367346938775511;0.72;0.94;0.92;0.9387755102040817;0.8367346938775511;0.9591836734693877,0.7555555555555555;0.8111111111111111;0.7666666666666667;0.8555555555555555;0.8222222222222222;0.9;0.8777777777777778;0.9213483146067416;0.6629213483146067;0.550561797752809,0.7695370831259334;0.8205574912891986;0.7697859631657542;0.857391737182678;0.835;0.895;0.8725;0.9193877551020408;0.6433673469387755;0.5045918367346939,0.7555555555555555;0.8111111111111111;0.7666666666666667;0.8555555555555555;0.8222222222222222;0.9;0.8777777777777778;0.9213483146067416;0.6629213483146067;0.550561797752809
f1-score,0.7755102040816327;0.8172043010752689;0.7586206896551724;0.8470588235294119;0.8260869565217392;0.8831168831168831;0.8571428571428571;0.9113924050632911;0.5454545454545455;0.09090909090909091,0.7317073170731708;0.8045977011494253;0.7741935483870968;0.8631578947368421;0.8181818181818181;0.912621359223301;0.8932038834951457;0.9292929292929293;0.7321428571428571;0.7014925373134329,0.7555555555555555;0.8111111111111111;0.7666666666666667;0.8555555555555555;0.8222222222222222;0.9;0.8777777777777778;0.9213483146067416;0.6629213483146067;0.550561797752809,0.7536087605774018;0.8109010011123471;0.7664071190211346;0.855108359133127;0.8221343873517787;0.897869121170092;0.8751733703190014;0.9203426671781102;0.6387987012987013;0.3962008141112619,0.7516619655992479;0.8103407077823096;0.7670992460758868;0.8558238734090128;0.8216952129995607;0.8995082587315598;0.8771767606719063;0.9212477498638784;0.6482379979570991;0.4270730108395713
support,41;41;41;41;40;40;40;40;40;40,49;49;49;49;50;50;50;49;49;49,0.7555555555555555;0.8111111111111111;0.7666666666666667;0.8555555555555555;0.8222222222222222;0.9;0.8777777777777778;0.9213483146067416;0.6629213483146067;0.550561797752809,90;90;90;90;90;90;90;89;89;89,90;90;90;90;90;90;90;89;89;89
,0,1
0,38;38;33;36;38;34;33;36;18;2,3;3;8;5;2;6;7;4;22;38
1,19;14;13;8;14;3;4;3;8;2,30;35;36;41;36;47;46;46;41;47


